ParticipantID,Activity,ToiletType,ContactIndex,LeftHandConc,RightHandConc,SurfaceContacted,SurfaceConc
1,Urination,Men,0,0.0016110134440599328,0.0016110134440599328,Entry,0.5600608224542494
1,Urination,Men,1,0.0016110134440599328,0.005703190490777591,Personal,1.3016464471976532
1,Urination,Men,2,0.0016110134440599328,0.010280869092553161,Personal,1.0260923557106534
1,Urination,Men,3,0.0016110134440599328,0.011218493582600705,Personal,0.7551974999312994
1,Urination,Men,4,0.0016110134440599328,0.016309701090267498,Personal,0.4962855754779872
1,Urination,Men,5,0.0016110134440599328,0.016886933339526105,Personal,0.37345001541852274
1,Urination,Men,6,0.0016110134440599328,0.01703293643598777,Personal,0.3421622495593162
1,Urination,Men,7,0.0016110134440599328,0.018121430511665895,Personal,0.20700797286605163
1,Urination,Men,8,0.0016110134440599328,0.018366720101129663,Personal,0.17864201868949434
1,Urination,Men,9,0.0016110134440599328,0.018366720101129663,Exit,
2,Urination,Men,0,0.0005745587865787721,0.0,Entry,0.13270242213368158
2,Urination,Men,1,0.0010585712600441044,0.0004840124734653322,Personal,0.3464725466536409
2,Urination,Men,2,0.0010585712600441044,0.0005331412925396959,Personal,0.3073908505578619
2,Urination,Men,3,0.0032830869827639294,0.0005331412925396959,Personal,0.17116930608063607
2,Urination,Men,4,0.0032830869827639294,0.16486062636372373,Hygiene,17.894216489170518
2,Urination,Men,5,0.2859912048262364,0.16486062636372373,Cubicle,120.63078538497312
2,Urination,Men,6,0.2868007319064238,0.16486062636372373,Personal,0.10219806361259112
2,Urination,Men,7,0.2868007319064238,0.16493389480677284,Personal,0.08656057282837845
2,Urination,Men,8,0.2868007319064238,0.16531414074312795,Personal,0.047974945195278194
2,Urination,Men,9,0.28686723817550486,0.16531414074312795,Personal,0.03892782358911543
2,Urination,Men,10,0.2869017112957544,0.1653486138633775,Personal,0.029291529760279017
2,Urination,Men,11,0.18478269781962106,0.12865771753737368,Hygiene,8.024326031055367
2,Urination,Men,12,0.1848907690245948,0.1287657887423474,Personal,0.011502370064947804
2,Urination,Men,13,0.1848907690245948,0.22139193439612057,Hygiene,4.036982159777969
2,Urination,Men,14,0.031904633883595365,0.032971691548077185,Hygiene,2.4683847316555854
2,Urination,Men,15,0.011745808262062783,0.00925798757182567,Hygiene,1.6133409441841353
2,Urination,Men,16,0.011745808262062783,0.00925798757182567,Exit,
3,Urination,Men,0,9.846697210434606e-05,0.0,Entry,0.21585883353886443
3,Urination,Men,1,0.0009514657999402332,0.0,Personal,0.624583180911025
3,Urination,Men,2,0.0027247371532976264,0.0,Personal,0.3624643067016734
3,Urination,Men,3,0.003632049760365172,0.0,Personal,0.2387103022350976
3,Urination,Men,4,0.003861573937791403,0.0,Personal,0.20084770914674932
3,Urination,Men,5,0.003861573937791403,4.5275809860553134e-05,Personal,0.1773934177289241
3,Urination,Men,6,0.04923220904869521,9.117792504885754e-06,Hygiene,10.19429609477325
3,Urination,Men,7,0.049337000994909494,0.00011390973871917169,Personal,0.12427851995446788
3,Urination,Men,8,0.0226212283567956,0.0019906425158120245,Hygiene,6.846544483875956
3,Urination,Men,9,0.02322231863078594,0.014096510874788415,Hygiene,2.232833615811554
3,Urination,Men,10,0.008284824513766728,0.005526622515863658,Hygiene,1.691863137615687
3,Urination,Men,11,0.002452569487591769,0.003826411151971613,Hygiene,1.2294982434756403
3,Urination,Men,12,0.0017652006894782598,0.006556115791512599,Hygiene,0.8703242039610126
3,Urination,Men,13,0.0018540823484633141,0.002214133047019313,Hygiene,0.501138315962157
3,Urination,Men,14,0.0019412939973216018,0.0023013446958776006,Personal,0.06290667557221524
3,Urination,Men,15,0.0015452991086948925,0.000616744576858859,Hygiene,0.3438325671299596
3,Urination,Men,16,0.0005487503958981623,0.00010983674176023355,Hygiene,0.24960575681580327
3,Urination,Men,17,0.0005487503958981623,0.0002219799375775229,Personal,0.04491089245923348
3,Urination,Men,18,0.00012103623217460327,0.0004421407122931511,Hygiene,0.11464675255176746
3,Urination,Men,19,5.893785847736335e-05,0.00018829069620515023,Hygiene,0.1034473464263141
3,Urination,Men,20,3.575423887460673e-05,0.00010261163115711587,Hygiene,0.09609684588623625
3,Urination,Men,21,3.575423887460673e-05,0.0002782765572866282,Personal,0.025786629315396006
3,Urination,Men,22,3.575423887460673e-05,0.452678247752638,Cubicle,27.997895127981504
3,Urination,Men,23,3.575423887460673e-05,0.452678247752638,Exit,
4,Urination,Men,0,0.0037602134224894866,0.0,Entry,1.7250008232263343
4,Urination,Men,1,0.008208335300397867,0.0,Personal,0.7858838333015354
4,Urination,Men,2,0.008208335300397867,0.0011152429119422199,Personal,0.5749738109090814
4,Urination,Men,3,0.008208335300397867,0.30581679831207303,Hygiene,13.488136673323925
4,Urination,Men,4,0.008330211652521024,0.3059386746641962,Personal,0.4572850453843371
4,Urination,Men,5,0.060707566444856684,0.3059386746641962,Hygiene,8.50466991723276
4,Urination,Men,6,0.03922326412157785,0.1943306715802982,Hygiene,7.907836522220656
4,Urination,Men,7,0.04582363843832478,0.11961764571446938,Hygiene,3.31870012846868
4,Urination,Men,8,0.025596005397686916,0.062331292976320146,Hygiene,2.360368065096048
4,Urination,Men,9,0.049182357369416854,0.062331292976320146,Hygiene,1.06001898214991
4,Urination,Men,10,0.049419585316282814,0.06256852092318611,Personal,0.2648280070940533
4,Urination,Men,11,0.05123160866044013,0.06438054426734344,Hygiene,0.7656622953968478
4,Urination,Men,12,0.05123160866044013,0.06458994525983298,Personal,0.18432735540519818
4,Urination,Men,13,0.04352694869018949,0.054544845180011035,Hygiene,0.6655885843118684
4,Urination,Men,14,0.36163744653984103,0.054544845180011035,Cubicle,41.62307664496436
4,Urination,Men,15,0.3620108607022995,0.054544845180011035,Personal,0.09978385800932421
4,Urination,Men,16,0.3620108607022995,0.054544845180011035,Exit,
5,Urination,Men,0,0.002587919015715128,0.002587919015715128,Entry,0.9952395282085522
5,Urination,Men,1,0.004013630474573901,0.004013630474573901,Personal,1.0926222157448802
5,Urination,Men,2,0.005958659611617275,0.005958659611617275,Personal,0.635279891454906
5,Urination,Men,3,0.008062813504233787,0.005958659611617275,Personal,0.4062146997455186
5,Urination,Men,4,0.013596766056668258,0.005958659611617275,Personal,0.16476707984375172
5,Urination,Men,5,0.05662555231655668,0.005958659611617275,Hygiene,18.767215206927556
5,Urination,Men,6,0.023744331819428467,0.06945719408702118,Hygiene,7.8587296817985095
5,Urination,Men,7,0.023744331819428467,0.07957111276352191,Hygiene,5.957945467779491
5,Urination,Men,8,0.06018932035131177,0.07957111276352191,Hygiene,3.84725249839153
5,Urination,Men,9,0.06878516632287313,0.07957111276352191,Hygiene,2.1981556361405055
5,Urination,Men,10,0.06878516632287313,0.07957111276352191,Exit,
6,Urination,Men,0,0.0,0.049553518596878225,Entry,0.9626436731602821
6,Urination,Men,1,0.0038734316943175653,0.049553518596878225,Personal,0.7501237875934526
6,Urination,Men,2,0.004755226125628482,0.05043531302818914,Personal,0.4402972391277321
6,Urination,Men,3,0.0053016177093043884,0.05098170461186504,Personal,0.3363697063347678
6,Urination,Men,4,0.006076164473703932,0.05098170461186504,Personal,0.26264658894126763
6,Urination,Men,5,0.006076164473703932,0.05224693209442029,Personal,0.17911065451931746
6,Urination,Men,6,0.04193687917531912,0.05224693209442029,Hygiene,11.574924821126118
6,Urination,Men,7,0.007496944159751293,0.012332108910911273,Hygiene,8.93873895843391
6,Urination,Men,8,0.02783661670973262,0.00715116352717631,Hygiene,6.062920800476338
6,Urination,Men,9,0.02783661670973262,0.10171083759856864,Hygiene,1.1956529338463433
6,Urination,Men,10,0.00498047412369944,0.01840878624596704,Hygiene,0.3951040934615466
6,Urination,Men,11,0.00498047412369944,0.019322651857103967,Personal,0.06947054552858103
6,Urination,Men,12,0.0020929130608111687,0.00664154901334829,Hygiene,0.21308343153356746
6,Urination,Men,13,0.0020929130608111687,0.00919150908353123,Hygiene,0.0916867018698698
6,Urination,Men,14,0.002637880921724573,0.00919150908353123,Personal,0.03821909002212452
6,Urination,Men,15,0.0028646842324700703,0.00919150908353123,Personal,0.021353591215076462
6,Urination,Men,16,0.0028646842324700703,0.00919150908353123,Exit,
7,Urination,Men,0,0.0,0.008423015679670198,Entry,0.7441285143854982
7,Urination,Men,1,0.005113644005226118,0.008423015679670198,Personal,0.43208606391229365
7,Urination,Men,2,0.007052294837042862,0.008423015679670198,Personal,0.2146271349290796
7,Urination,Men,3,0.007684409157084472,0.008423015679670198,Personal,0.1785743095340128
7,Urination,Men,4,0.007684409157084472,0.008496366399234333,Personal,0.13507183125002437
7,Urination,Men,5,0.007684409157084472,0.008670316902028226,Personal,0.11299329513500286
7,Urination,Men,6,0.007978980293004412,0.008670316902028226,Personal,0.080934621896217
7,Urination,Men,7,0.03392158300450245,0.03427414423414168,Hygiene,9.14043650337589
7,Urination,Men,8,0.5336744916968407,0.03427414423414168,Cubicle,72.77757540350692
7,Urination,Men,9,0.5342143706241294,0.03427414423414168,Personal,0.03568791914173376
7,Urination,Men,10,0.5342783809262415,0.03433815453625373,Personal,0.025968410606826624
7,Urination,Men,11,0.5343061808730182,0.03436595448303045,Personal,0.007633205400886727
7,Urination,Men,12,0.534367326205759,0.03436595448303045,Personal,0.0030631280716725802
7,Urination,Men,13,0.5343712499587974,0.03436595448303045,Personal,0.0022123640173657842
7,Urination,Men,14,0.5343712499587974,0.03437141269036932,Personal,0.0018483799920013633
7,Urination,Men,15,0.5537927128311139,0.053792875562685805,Hygiene,3.348755601774896
7,Urination,Men,16,0.43591294807284164,0.04166430880653294,Hygiene,2.206451472739657
7,Urination,Men,17,0.438416731077689,0.04166430880653294,Hygiene,1.2857859991121787
7,Urination,Men,18,0.11230434503147194,0.010597775380133283,Hygiene,0.8163764852910971
7,Urination,Men,19,0.11230434503147194,0.010597775380133283,Exit,
8,Urination,Men,0,0.0,0.0014161561486483712,Entry,0.2740830158597983
8,Urination,Men,1,0.002450746165461923,0.0038669023141102944,Personal,0.36385777100453176
8,Urination,Men,2,0.0030302969909546786,0.0038669023141102944,Personal,0.2963053007143144
8,Urination,Men,3,0.0031776703027214235,0.00401427562587704,Personal,0.2664488750323603
8,Urination,Men,4,0.0031776703027214235,0.00401427562587704,Exit,
9,Urination,Men,0,0.00016852550961408283,0.00016852550961408283,Entry,1.5510976145731854
9,Urination,Men,1,0.00016852550961408283,0.002289606575344978,Personal,1.8990882784993302
9,Urination,Men,2,0.0016711834219635575,0.002289606575344978,Personal,1.5598135589499191
9,Urination,Men,3,0.007617418357748731,0.008235841511130151,Personal,0.8477340041038023
9,Urination,Men,4,0.007617418357748731,0.04001513289298179,Hygiene,23.645178709128913
9,Urination,Men,5,0.032862869804725685,0.006337948439943093,Hygiene,16.54497414301223
9,Urination,Men,6,0.03001776969247698,0.001661725147828771,Hygiene,7.202598619351415
9,Urination,Men,7,0.004832120470049375,0.005741686543338716,Hygiene,5.5434274594614354
9,Urination,Men,8,0.004832120470049375,0.0561155788555634,Hygiene,3.4050759099391352
9,Urination,Men,9,0.011966406412391616,0.06324986479790563,Hygiene,2.0306017336332194
9,Urination,Men,10,0.011966406412391616,0.06758427568605728,Hygiene,1.7719493880226889
9,Urination,Men,11,0.02534782186791994,0.06758427568605728,Hygiene,1.0755380587046084
9,Urination,Men,12,0.030685990523843146,0.07292244434198049,Hygiene,0.6989588577864494
9,Urination,Men,13,0.030685990523843146,0.0814785387660542,Hygiene,0.4106402629290027
9,Urination,Men,14,0.03404736264024492,0.0814785387660542,Personal,0.30591410160514027
9,Urination,Men,15,0.0085304575920533,0.02090348998583172,Hygiene,0.2606599443272813
9,Urination,Men,16,0.20232068788461077,0.02090348998583172,Cubicle,24.9320211590532
9,Urination,Men,17,0.20254860209522374,0.021131404196444693,Hygiene,0.16937087240050827
9,Urination,Men,18,0.20489227465542337,0.021131404196444693,Hygiene,0.09254352350707883
9,Urination,Men,19,0.22244668695996883,0.03868581650099017,Cubicle,18.79031459596142
9,Urination,Men,20,0.09210807902996919,0.01610373888638612,Hygiene,0.06635210916379364
9,Urination,Men,21,0.09210807902996919,0.016273265688817484,Hygiene,0.04682569440099998
9,Urination,Men,22,0.08165170750694882,0.014380293883934725,Hygiene,0.027873204773199014
9,Urination,Men,23,0.08165170750694882,0.014380293883934725,Exit,
10,Urination,Men,0,0.001947408809099484,0.0,Entry,0.34836868608963517
10,Urination,Men,1,0.004694738700930887,0.0027473298918314023,Personal,0.8759247621403463
10,Urination,Men,2,0.007622066322976734,0.0027473298918314023,Personal,0.6634382405073518
10,Urination,Men,3,0.008931518103492062,0.00405678167234673,Personal,0.45611079952039446
10,Urination,Men,4,0.009024596875026077,0.004149860443880746,Personal,0.41279811218500595
