"","Bin outside the cubicle","Hand dryer","Paper towel","Soap dispenser","Tap"
"Bin outside the cubicle",0,0,1,0,0
"Hand dryer",0,0,0,0,0
"Paper towel",0.615384615384615,0,0.384615384615385,0,0
"Soap dispenser",0,0,0,0,1
"Tap",0.0333333333333333,0.0666666666666667,0.266666666666667,0.166666666666667,0.466666666666667
