"TE_SH","TE_HS","TE_HM","A_hand","A_surfaces","C_surf","C_surf_new","C_hand","C_hand_after_hm","C_hand_after_wash","Dose","Dose_after_wash","FSA","A_mouth","HM_area","infection_risk_before","infection_risk_after"
0.617312863396845,0.0705670644573023,0.34,910,236.085280816071,108.047232274711,476.920155404555,838.673481337161,553.524497682527,27.9289569137395,570.29796730927,8641.21926911101,0.963634832352131,41,2,0.75116634350731,0.999999999297338
0.235982396469097,0.15220453750039,0.34,910,453.545785992406,37.5346742648631,25.926146629047,53.2327197983806,35.1335950669312,0.739356402320558,36.1982494628988,228.756870877981,0.501603161193981,41,2,0.084503202831389,0.427615086094325
0.237230333131944,0.427962349069883,0.34,910,357.002403680235,31.6895009265747,31.3734520420792,17.5653836405877,11.5931532027879,0.437387665056294,11.9444608755996,135.327743568417,0.637250611353783,41,2,0.0287125615765984,0.281124912507029
0.20465782655719,0.128000376180551,0.34,910,263.692222325131,49.0995954049751,63.8006143688307,76.4179469429831,50.4358449823688,2.29270610813312,51.9642039212285,709.363269856387,0.862748237297244,41,2,0.119039034251995,0.822742945868503
0.489982381398265,0.323368326341753,0.34,910,384.266601380892,99.7423195766285,184.161708427033,150.925960864743,99.6111341707305,4.46170634833871,102.629653388025,1380.451944176,0.592036880599201,41,2,0.22144545643198,0.96550551978126
0.228799053317566,0.251971790829724,0.34,910,491.313688419759,128.846052405424,79.3447870720181,114.496743657981,75.5678508142674,4.45689756700955,77.8577856874271,1378.96410723275,0.463044294026738,41,2,0.172955716523469,0.965380116377618
0.268655171534111,0.187170062107532,0.34,910,316.374944571406,104.347268547676,137.959360074993,148.079670795805,97.7325827252312,2.0002560078304,100.694176141147,618.879208822725,0.719083492241129,41,2,0.217761463891932,0.778971026651616
0.624850534026781,0.556161762594198,0.34,910,449.609276996925,99.2697547558695,189.067784942866,111.526103391285,73.6072282382478,3.4088248001256,75.8377503060735,1054.69039315886,0.505994897435258,41,2,0.168870884623029,0.923649110193049
0.111180427666571,0.100034870494312,0.34,910,391.828773966059,132.549392071413,50.9881377993516,124.267641440124,82.0166433504819,2.76141464191225,84.5019961792844,854.38169020765,0.580610754277343,41,2,0.186250280130308,0.875550812758608
0.362925612659241,0.451153028974545,0.34,910,440.078782727011,117.629509685468,133.899084432859,94.6007405630925,62.4364887716411,2.27462233283835,64.3285035829029,703.768149780184,0.516952893275754,41,2,0.145209431545708,0.820307402984001
0.159605815450442,0.208525182664798,0.34,910,454.130616066977,66.4970329434611,31.5728218568866,49.232493508656,32.493445715713,1.251957479554,33.4780955858861,387.355644174009,0.50095719590605,41,2,0.078409126220817,0.611230969580418
0.362230383871479,0.119154323151351,0.34,910,569.017656316049,58.2671483387705,44.2773062844768,138.125596432929,91.162893645733,2.11609789022387,93.9254055743915,654.720687235265,0.399811846741078,41,2,0.204740144172357,0.797472525473367
0.180601336936322,0.120904688807104,0.34,910,518.089118844829,72.1856278517284,31.1003775517148,87.9532431845418,58.0491405017976,2.64707107045897,59.8082053654885,819.003789200004,0.439113642276933,41,2,0.135733122279589,0.864335481645926
0.368311915110775,0.215517062308226,0.34,910,350.226796629839,118.509315362433,186.395830728496,200.640672191544,132.422843646419,3.70996550516335,136.43565709025,1147.86332729754,0.649579079011618,41,2,0.283064854706678,0.939169663079684
0.0232356008816653,0.102566191424336,0.34,910,335.055231787264,29.6252083483152,3.00353880576885,5.99527673975515,3.9568826482384,0.12309408303717,4.0767881830335,38.0853092917003,0.678992531429702,41,2,0.00989411379702165,0.0887071726248723
0.396458788969561,0.359149016770343,0.34,910,137.519589609466,40.3046955579892,280.661036400384,44.4917013399858,29.3645228843906,0.97027250087059,30.2543569111903,300.202311769361,1.65430976522009,41,2,0.0711342997691649,0.519150409967452
0.171098412238796,0.206850431683101,0.34,910,435.364378464408,41.8389784576837,22.5562886624398,33.6095444334817,22.1822993260979,1.12043090770611,22.8544902147675,346.661322844272,0.522550790219505,41,2,0.0542175068684058,0.570663987869662
0.332295479084092,0.239519394594701,0.34,910,425.71911606472,108.568939548172,117.73674747934,148.464824745981,97.9867843323472,4.10050587816411,100.956080827267,1268.69651870398,0.534389909720226,41,2,0.218260991982009,0.954696987741738
0.249424476092492,0.485302583292456,0.34,910,112.78986377921,127.825084994594,776.078084801774,65.6965488210506,43.3597222218934,1.28352019324253,44.6736531983144,397.121147789238,2.01702522174634,41,2,0.10323382892487,0.620381381337604
0.0129175479021127,0.286501417242769,0.34,910,582.99784242548,90.6647071079817,2.52334967109548,3.98422582168984,2.62958904231529,0.127635194098733,2.70927355874909,39.490329054148,0.390224428710608,41,2,0.0065861995722144,0.0918247167113179
0.115872724422702,0.135598646360776,0.34,910,152.491388251074,31.1030997287482,53.5640988979828,26.5543666603753,17.5258819958477,0.62902756487661,18.0569693290552,194.621128572823,1.49188752630035,41,2,0.0430856486990208,0.377919441555916
0.214030498091554,0.344586783986366,0.34,910,517.978271687403,54.0042244158685,29.170069620943,33.3360797766984,22.0018126526209,0.781449035343283,22.6685342481549,241.780331535212,0.439207612433007,41,2,0.0537884488497489,0.445510897760835
0.375102459957984,0.0383793510890073,0.34,910,168.708799650893,81.5294580905233,344.563492445802,643.397682780783,424.642470635316,13.5212032826176,437.510424290932,4183.46029564188,1.34847737919281,41,2,0.655994831093811,0.999962961835231
0.173099855662527,0.35912416423531,0.34,910,195.301589616574,41.8359127654228,73.0486829527592,20.1651429096005,13.3089943203363,0.609777314414188,13.7122971785283,188.66510107975,1.16486507071775,41,2,0.0328915388103899,0.368816583723194
