"TE_SH","TE_HS","TE_HM","A_hand","A_surfaces","C_surf","C_surf_new","C_hand","C_hand_after_hm","C_hand_after_wash","Dose","Dose_after_wash","FSA","A_mouth","HM_area","infection_risk_before","infection_risk_after"
0.617312863396845,0.0705670644573023,0.34,910,236.085280816071,108.047232274711,424.549921651261,638.872558582888,421.655888664706,12.3890273005815,434.433339836364,3833.16504679993,0.963634832352131,41,2,0.653403330843053,0.999912963504692
0.235982396469097,0.15220453750039,0.34,910,453.545785992406,37.5346742648631,24.1845325131263,41.8631556778158,27.6296827473585,0.965532719962251,28.4669458609148,298.73582355632,0.501603161193981,41,2,0.067076033729329,0.517427427358338
0.237230333131944,0.427962349069883,0.34,910,357.002403680235,31.6895009265747,31.2992654651002,17.4586652523962,11.5227190665815,0.653639042515729,11.8718923716294,202.235919754367,0.637250611353783,41,2,0.0285406320290802,0.389366502898128
0.20465782655719,0.128000376180551,0.34,910,263.692222325131,49.0995954049751,59.9953856419816,66.4331010092342,43.8458466660946,1.67538403320947,45.1745086862793,518.36381987501,0.862748237297244,41,2,0.104328648508247,0.717563631974612
0.489982381398265,0.323368326341753,0.34,910,384.266601380892,99.7423195766285,181.969618323367,146.090883718942,96.419983254502,3.90736677215427,99.3418009288808,1208.93927930453,0.592036880599201,41,2,0.215177008715961,0.947588664700904
0.228799053317566,0.251971790829724,0.34,910,491.313688419759,128.846052405424,76.4115307882638,100.923206942763,66.6093165822238,2.55547555478308,68.6277807210791,790.664136649885,0.463044294026738,41,2,0.154125969877414,0.854626518526533
0.268655171534111,0.187170062107532,0.34,910,316.374944571406,104.347268547676,132.876720789783,134.950591380181,89.0673903109195,7.69565228449581,91.7664021385231,2381.034816823,0.719083492241129,41,2,0.200541370106587,0.996994772456561
0.624850534026781,0.556161762594198,0.34,910,449.609276996925,99.2697547558695,188.748976235171,110.966375714353,73.237807971473,2.28487853818894,75.4571354857601,706.941419715659,0.505994897435258,41,2,0.168098965261682,0.821692798504269
0.111180427666571,0.100034870494312,0.34,910,391.828773966059,132.549392071413,46.4686569589768,90.7628443140696,59.9034772472859,1.55114409747599,61.7187341335673,479.923983759072,0.580610754277343,41,2,0.139751086995903,0.689802566463731
0.362925612659241,0.451153028974545,0.34,910,440.078782727011,117.629509685468,133.259613778311,93.2747671690945,61.5613463316024,1.60786051053476,63.4268416749843,497.472041959456,0.516952893275754,41,2,0.143327528609247,0.702798953160199
0.159605815450442,0.208525182664798,0.34,910,454.130616066977,66.4970329434611,30.09796358329,42.1866896593091,27.843215175144,1.34137705536527,28.6869489683302,415.022060930013,0.50095719590605,41,2,0.0675764998624661,0.636599202727699
0.362230383871479,0.119154323151351,0.34,910,569.017656316049,58.2671483387705,41.0689337153423,96.0138083336905,63.3691135002357,1.36836984794788,65.2893896669096,423.373630955074,0.399811846741078,41,2,0.147210394077258,0.6439266792187
0.180601336936322,0.120904688807104,0.34,910,518.089118844829,72.1856278517284,28.7529975616448,62.7807400540885,41.4352884356984,1.29901474787989,42.6909032367802,401.915162994038,0.439113642276933,41,2,0.0988865865715253,0.624794305734457
0.368311915110775,0.215517062308226,0.34,910,350.226796629839,118.509315362433,180.486240912619,184.394478399838,121.700355743893,5.76714475164784,125.38824531189,1784.35458615984,0.649579079011618,41,2,0.263484493187293,0.987120061800429
0.0232356008816653,0.102566191424336,0.34,910,335.055231787264,29.6252083483152,2.73903052618357,4.59683281797948,3.03390965986646,0.110773185857291,3.12584631622605,34.2732237042459,0.678992531429702,41,2,0.0075950263178437,0.0801946694405972
0.396458788969561,0.359149016770343,0.34,910,137.519589609466,40.3046955579892,280.660941601548,44.4916772279065,29.3645069704183,0.963480703256775,30.2543405149764,298.100929587646,1.65430976522009,41,2,0.0711342626231135,0.516679574289439
0.171098412238796,0.206850431683101,0.34,910,435.364378464408,41.8389784576837,21.5278092877731,29.0573359256384,19.1778417109213,0.730237563063533,19.7589884294341,225.935502011857,0.522550790219505,41,2,0.0470498209449205,0.42366270036273
0.332295479084092,0.239519394594701,0.34,910,425.71911606472,108.568939548172,113.721334845324,133.788645545055,88.3005060597361,2.62136127781322,90.9762789706372,811.04917935541,0.534389909720226,41,2,0.198999224174445,0.861677689003174
0.249424476092492,0.485302583292456,0.34,910,112.78986377921,127.825084994594,776.078084801774,65.6965488210506,43.3597222218934,1.68043133149836,44.6736531983144,519.925453965592,2.01702522174634,41,2,0.10323382892487,0.718637347470121
0.0129175479021127,0.286501417242769,0.34,910,582.99784242548,90.6647071079817,2.4344034945859,3.47452936899696,2.29318938353799,0.0864523610373576,2.36267997091793,26.7483605049584,0.390224428710608,41,2,0.00574606194798244,0.0631573155829621
0.115872724422702,0.135598646360776,0.34,910,152.491388251074,31.1030997287482,52.730645720873,25.863977927086,17.0702254318768,0.683065935775891,17.5875049904185,211.340600529061,1.49188752630035,41,2,0.0419893207541645,0.402777106509584
0.214030498091554,0.344586783986366,0.34,910,517.978271687403,54.0042244158685,28.5794908891118,31.1149216519079,20.5358482902592,1.11911620524632,21.1581467232974,346.254553903213,0.439207612433007,41,2,0.0502962982305211,0.570237823928666
0.375102459957984,0.0383793510890073,0.34,910,168.708799650893,81.5294580905233,292.345819230256,456.341285230893,301.185248252389,11.8867659111524,310.312073957007,3677.76537291054,1.34847737919281,41,2,0.53086219057405,0.999872852082703
0.173099855662527,0.35912416423531,0.34,910,195.301589616574,41.8359127654228,73.0419354769939,20.1616812411648,13.3067096191688,0.35629670156017,13.7099432439921,110.238199462717,1.16486507071775,41,2,0.0328859863310188,0.235760194274181
