"","Bin outside the cubicle","Hand dryer","Paper towel","Soap dispenser","Tap"
"Bin outside the cubicle",0,0,0,1,0
"Hand dryer",0,0,0,0,0
"Paper towel",0.692307692307692,0,0.307692307692308,0,0
"Soap dispenser",0,0,0,0.0833333333333333,0.916666666666667
"Tap",0,0.0625,0.3125,0.15625,0.46875
