,Personal,Cubicle,CubicleIN,Exit,CubicleOUT,Hygiene,Entry
Personal,0.27386363636363636,0.23547979797979798,0.0,0.1875,0.08787878787878788,0.2152777777777778,0.0
Cubicle,0.32133779264214046,0.3177257525083612,0.0,0.24,0.06555183946488294,0.055384615384615386,0.0
CubicleIN,0.1,0.1,0.0,0.0,0.25,0.55,0.0
Exit,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CubicleOUT,0.2902777777777778,0.1486111111111111,0.13888888888888892,0.0,0.28472222222222227,0.1375,0.0
Hygiene,0.09772727272727275,0.0037878787878787884,0.0,0.2287878787878788,0.13636363636363638,0.5333333333333334,0.0
Entry,0.2222222222222222,0.0,0.0,0.0,0.1111111111111111,0.6666666666666666,0.0
