,Personal,Cubicle,Exit,Hygiene,Entry
Personal,0.3888888888888889,0.0,0.44675925925925924,0.16435185185185186,0.0
Cubicle,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0
Exit,0.0,0.0,0.0,0.0,0.0
Hygiene,0.03921568627450981,0.047385620915032685,0.05882352941176472,0.8545751633986929,0.0
Entry,1.0,0.0,0.0,0.0,0.0
