,CubicleIN,CubicleOUT,Entry,Exit,Hygiene,Personal,Cubicle
CubicleIN,0.0,0.5,0.0,0.05,0.1,0.15,0.2
CubicleOUT,0.3819444444444444,0.0,0.0,0.0,0.05555555555555555,0.08333333333333333,0.4791666666666667
Entry,0.08333333333333333,0.0,0.0,0.0,0.75,0.08333333333333333,0.08333333333333333
Exit,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hygiene,0.0,0.03061224489795919,0.0,0.22562358276643993,0.6005291005291006,0.05650037792894936,0.08673469387755103
Personal,0.0,0.053703703703703705,0.0,0.011111111111111112,0.3277777777777778,0.3074074074074074,0.3
Cubicle,0.0,0.0667989417989418,0.0,0.16666666666666666,0.19345238095238093,0.3204365079365079,0.2526455026455026
