,Personal,Hygiene,Entry,CubicleIN,Cubicle,Door,Exit,CubicleOUT
Personal,0.33297768793051813,0.2800613956274333,0.0,0.0,0.15281521413596882,0.03558325846061694,0.07412398921832883,0.12443845462713385
Hygiene,0.07972222222222222,0.5255555555555556,0.0,0.004,0.2667222222222222,0.008,0.10400000000000001,0.012
Entry,0.1111111111111111,0.0,0.0,0.5555555555555556,0.05555555555555555,0.1111111111111111,0.0,0.16666666666666666
CubicleIN,0.08095238095238096,0.09523809523809523,0.0,0.0,0.12857142857142856,0.03333333333333333,0.0,0.6619047619047619
Cubicle,0.4557479557479557,0.05729918229918229,0.0,0.0,0.3705507455507455,0.01058201058201058,0.10052910052910052,0.00529100529100529
Door,0.4583333333333333,0.08333333333333333,0.0,0.0,0.10714285714285714,0.0,0.041666666666666664,0.30952380952380953
Exit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CubicleOUT,0.1253968253968254,0.0,0.0,0.12301587301587301,0.17142857142857143,0.16984126984126982,0.21547619047619046,0.19484126984126982
