,CubicleIN,CubicleOUT,Entry,Exit,Hygiene,MHM,Personal,Cubicle
CubicleIN,0.0,0.3333333333333333,0.0,0.06666666666666667,0.39999999999999997,0.06666666666666667,0.06666666666666667,0.06666666666666667
CubicleOUT,0.2,0.14666666666666667,0.0,0.0,0.24444444444444446,0.0,0.2422222222222222,0.16666666666666666
Entry,0.0,0.0,0.0,0.0,0.7777777777777778,0.0,0.2222222222222222,0.0
Exit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hygiene,0.0,0.022222222222222223,0.0,0.19444444444444442,0.5111111111111112,0.0,0.15648148148148147,0.11574074074074074
MHM,0.0,0.0,0.0,0.25,0.0,0.16666666666666666,0.5,0.08333333333333333
Personal,0.0033222591362126247,0.06517165005537098,0.0,0.20153061224489793,0.0875968992248062,0.06303986710963454,0.4071824078468596,0.172156304382218
Cubicle,0.0,0.11587301587301586,0.0,0.19444444444444445,0.059523809523809514,0.2650793650793651,0.32539682539682535,0.03968253968253968
