,Door,CubicleIN,CubicleOUT,Entry,Exit,Hygiene,Personal,Cubicle
Door,0.0,0.0,0.40625,0.0,0.03125,0.0,0.25,0.3125
CubicleIN,0.08333333333333333,0.0,0.375,0.0,0.022727272727272728,0.0,0.34469696969696967,0.17424242424242425
CubicleOUT,0.0,0.26326530612244897,0.05714285714285715,0.0,0.22755102040816327,0.06190476190476191,0.32074829931972787,0.06938775510204082
Entry,0.23529411764705882,0.11764705882352941,0.17647058823529413,0.0,0.0,0.17647058823529413,0.23529411764705882,0.058823529411764705
Exit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hygiene,0.0,0.007017543859649124,0.003508771929824562,0.0,0.0,0.8560027519779841,0.08083935328517373,0.052631578947368425
Personal,0.04121776915894562,0.0050420168067226885,0.02228686346333405,0.0,0.10882352941176468,0.23502118796236443,0.39698520433814544,0.19062342885872297
Cubicle,0.018745275888133028,0.0,0.036432350718065006,0.0,0.14285714285714285,0.25616024187452757,0.36485260770975053,0.18095238095238095
