,CubicleIN,CubicleOUT,Entry,Exit,Hygiene,Personal,Cubicle
CubicleIN,0.0,0.25,0.0,0.1,0.35,0.1,0.2
CubicleOUT,0.16666666666666669,0.36444444444444446,0.0,0.0,0.08,0.2777777777777778,0.11111111111111112
Entry,0.0,0.0,0.0,0.0,0.3333333333333333,0.6111111111111112,0.05555555555555555
Exit,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hygiene,0.0,0.036249014972419225,0.08333333333333333,0.16666666666666666,0.516548463356974,0.15307328605200946,0.04412923561859732
Personal,0.0,0.048611111111111105,0.0,0.22083333333333333,0.1647435897435897,0.35032051282051285,0.215491452991453
Cubicle,0.0,0.052564102564102565,0.0,0.225,0.05833333333333333,0.5294871794871795,0.1346153846153846
